dateState,date,state,cases,deaths,pop,cases.perCap,deaths.perCap,cases.new,deaths.new
"2020-03-10, Vermont",2020-03-10,Vermont,1,0,35470,2.8192839018889203e-5,0,0,0
"2020-03-10, Virginia",2020-03-10,Virginia,8,0,2011044,3.978033300116755e-6,0,3,0
"2020-03-10, Washington",2020-03-10,Washington,279,24,5838925,4.7782768232166024e-5,4.110345654379873e-6,100,2
"2020-03-10, Wisconsin",2020-03-10,Wisconsin,3,0,589449,5.089498837049516e-6,0,1,0
"2020-03-11, Arizona",2020-03-11,Arizona,9,0,5995482,1.5011303511544192e-6,0,3,0
"2020-03-11, Arkansas",2020-03-11,Arkansas,1,0,66824,1.496468334730037e-5,0,1,0
"2020-03-11, California",2020-03-11,California,202,4,32838033,6.151403770134466e-6,1.2180997564622705e-7,23,1
"2020-03-11, Colorado",2020-03-11,Colorado,34,0,3485494,9.75471482665011e-6,0,17,0
"2020-03-11, Connecticut",2020-03-11,Connecticut,3,0,943332,3.1802165091399423e-6,0,1,0
"2020-03-11, Delaware",2020-03-11,Delaware,1,0,558753,1.7896995631343367e-6,0,1,0
"2020-03-11, District of Columbia",2020-03-11,District of Columbia,10,0,705749,1.4169343491807994e-5,0,6,0
"2020-03-11, Florida",2020-03-11,Florida,26,2,10988946,2.3660139926067524e-6,1.8200107635436555e-7,3,0
"2020-03-11, Georgia",2020-03-11,Georgia,31,0,4302458,7.205183641537001e-6,0,9,0
"2020-03-11, Hawaii",2020-03-11,Hawaii,2,0,974563,2.052201858679223e-6,0,0,0
"2020-03-11, Illinois",2020-03-11,Illinois,25,0,6686945,3.738628028195237e-6,0,6,0
"2020-03-11, Indiana",2020-03-11,Indiana,11,0,1798794,6.1152083006725615e-6,0,5,0
"2020-03-11, Iowa",2020-03-11,Iowa,14,0,244346,5.7295801854746955e-5,0,1,0
"2020-03-11, Kansas",2020-03-11,Kansas,1,0,602401,1.66002380474136e-6,0,0,0
"2020-03-11, Kentucky",2020-03-11,Kentucky,7,0,1108795,6.313159781564672e-6,0,0,0
"2020-03-11, Louisiana",2020-03-11,Louisiana,13,0,1062841,1.2231368567829055e-5,0,7,0
"2020-03-11, Maryland",2020-03-11,Maryland,13,0,3042826,4.272344195823225e-6,0,4,0
"2020-03-11, Massachusetts",2020-03-11,Massachusetts,95,0,4866981,1.9519287213161505e-5,0,3,0
"2020-03-11, Michigan",2020-03-11,Michigan,2,0,3006927,6.651308794659797e-7,0,0,0
"2020-03-11, Minnesota",2020-03-11,Minnesota,5,0,1170624,4.271226286151659e-6,0,2,0
"2020-03-11, Mississippi",2020-03-11,Mississippi,1,0,74897,1.3351669626286767e-5,0,1,0
"2020-03-11, Missouri",2020-03-11,Missouri,1,0,994205,1.0058287777671608e-6,0,0,0
"2020-03-11, Nebraska",2020-03-11,Nebraska,23,0,571327,4.025715570942735e-5,0,6,0
"2020-03-11, Nevada",2020-03-11,Nevada,7,0,2738234,2.556392185620367e-6,0,3,0
"2020-03-11, New Hampshire",2020-03-11,New Hampshire,5,0,399655,1.2510790556855287e-5,0,0,0
"2020-03-11, New Jersey",2020-03-11,New Jersey,23,1,5058437,4.546859039659879e-6,1.97689523463473e-7,8,0
"2020-03-11, New Mexico",2020-03-11,New Mexico,4,0,846116,4.727484174746725e-6,0,4,0
"2020-03-11, New York",2020-03-11,New York,217,0,13612843,1.5940828818785318e-5,0,44,0
"2020-03-11, North Carolina",2020-03-11,North Carolina,8,0,1186231,6.744049009004148e-6,0,1,0
"2020-03-11, North Dakota",2020-03-11,North Dakota,1,0,67641,1.4783932821809258e-5,0,1,0
"2020-03-11, Ohio",2020-03-11,Ohio,4,0,1605678,2.491159497732422e-6,0,1,0
"2020-03-11, Oklahoma",2020-03-11,Oklahoma,2,0,651552,3.0695938313442367e-6,0,0,0
"2020-03-11, Oregon",2020-03-11,Oregon,20,0,2653903,7.536070459244366e-6,0,6,0
"2020-03-11, Pennsylvania",2020-03-11,Pennsylvania,16,0,3831628,4.175770716781483e-6,0,4,0
"2020-03-11, South Carolina",2020-03-11,South Carolina,10,0,895754,1.1163779341203054e-5,0,1,0
"2020-03-11, South Dakota",2020-03-11,South Dakota,8,1,247555,3.231605097857042e-5,4.039506372321302e-6,3,0
"2020-03-11, Tennessee",2020-03-11,Tennessee,8,0,2028070,3.944637019432268e-6,0,1,0
"2020-03-11, Texas",2020-03-11,Texas,33,0,14032664,2.351656107493203e-6,0,2,0
"2020-03-11, Utah",2020-03-11,Utah,5,0,1953687,2.559263587258348e-6,0,1,0
"2020-03-11, Vermont",2020-03-11,Vermont,2,0,199244,1.003794342615085e-5,0,1,0
"2020-03-11, Virginia",2020-03-11,Virginia,10,0,2247886,4.448624174001707e-6,0,2,0
"2020-03-11, Washington",2020-03-11,Washington,338,29,6214602,5.43880364341916e-5,4.666429161513481e-6,59,5
"2020-03-11, Wisconsin",2020-03-11,Wisconsin,6,0,1097050,5.469212889111709e-6,0,3,0
"2020-03-11, Wyoming",2020-03-11,Wyoming,1,0,30485,3.280301787764474e-5,0,1,0
"2020-03-12, Alaska",2020-03-12,Alaska,1,0,288000,3.4722222222222224e-6,0,1,0
