date,county,state,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
6/25/2020,Aurora,South Dakota,34,0,34,0,,
6/25/2020,Austin,Texas,57,0,57,0,,
6/25/2020,Autauga,Alabama,469,11,463,10,6,1
6/25/2020,Avery,North Carolina,8,0,8,0,,
6/25/2020,Avoyelles,Louisiana,254,11,254,11,,
6/25/2020,Baca,Colorado,12,0,,,,
6/25/2020,Bacon,Georgia,210,4,210,4,,
6/25/2020,Bailey,Texas,86,1,86,1,,
6/25/2020,Baker,Florida,42,4,42,4,,
6/25/2020,Baker,Georgia,37,3,37,3,,
6/25/2020,Baker,Oregon,1,0,,,,
6/25/2020,Baldwin,Alabama,464,9,449,9,15,0
6/25/2020,Baldwin,Georgia,463,32,463,32,,
6/25/2020,Ballard,Kentucky,15,0,,,,
6/25/2020,Baltimore,Maryland,7675,460,7652,437,23,23
6/25/2020,Baltimore city,Maryland,7219,325,7210,316,9,9
6/25/2020,Bamberg,South Carolina,76,0,76,0,0,0
6/25/2020,Bandera,Texas,15,0,15,0,,
6/25/2020,Banks,Georgia,122,0,122,0,,
6/25/2020,Banner,Nebraska,1,0,1,0,,
6/25/2020,Bannock,Idaho,91,1,80,1,11,0
6/25/2020,Baraga,Michigan,1,0,1,0,0,0
6/25/2020,Barber,Kansas,1,0,1,,0,
6/25/2020,Barbour,Alabama,288,1,287,1,1,0
6/25/2020,Barbour,West Virginia,15,1,15,1,0,
6/25/2020,Barceloneta,Puerto Rico,26,,4,,22,
6/25/2020,Barnes,North Dakota,18,0,18,0,,
6/25/2020,Barnstable,Massachusetts,1525,140,1525,140,,
6/25/2020,Barnwell,South Carolina,66,1,66,1,0,0
6/25/2020,Barranquitas,Puerto Rico,74,,11,,63,
6/25/2020,Barren,Kentucky,76,2,,,,
6/25/2020,Barron,Wisconsin,32,0,32,0,,
6/25/2020,Barrow,Georgia,446,25,446,25,,
6/25/2020,Barry,Michigan,96,2,77,2,19,0
6/25/2020,Barry,Missouri,32,0,32,0,,
6/25/2020,Bartholomew,Indiana,573,46,568,43,5,3
6/25/2020,Barton,Kansas,54,2,54,2,,
6/25/2020,Barton,Missouri,17,0,17,0,,
6/25/2020,Bartow,Georgia,633,39,633,39,,
6/25/2020,Bastrop,Texas,373,5,373,5,,
6/25/2020,Bates,Missouri,12,1,12,1,,
6/25/2020,Bath,Kentucky,11,1,,,,
6/25/2020,Baxter,Arkansas,15,0,15,0,,
6/25/2020,Bay,Florida,240,4,240,4,,
6/25/2020,Bay,Michigan,381,29,343,28,38,1
6/25/2020,Bayamon,Puerto Rico,322,,83,,239,
6/25/2020,Bayfield,Wisconsin,3,1,3,1,,
6/25/2020,Baylor,Texas,2,0,2,0,,
6/25/2020,Beadle,South Dakota,504,6,504,6,,
6/25/2020,Beaufort,North Carolina,61,0,61,0,,
6/25/2020,Beaufort,South Carolina,951,17,947,17,4,0
6/25/2020,Beauregard,Louisiana,168,8,168,8,,
6/25/2020,Beaver,Oklahoma,30,0,30,0,,
6/25/2020,Beaver,Pennsylvania,634,78,614,,20,
6/25/2020,Beaver,Utah,4,0,4,,,
6/25/2020,Beaverhead,Montana,1,0,1,0,,
6/25/2020,Becker,Minnesota,53,0,53,0,,
6/25/2020,Beckham,Oklahoma,11,0,11,0,,
6/25/2020,Bedford,Pennsylvania,71,2,64,,7,
6/25/2020,Bedford,Tennessee,445,4,445,,0,
6/25/2020,Bedford,Virginia,104,3,,,,
6/25/2020,Bee,Texas,36,0,36,0,,
6/25/2020,Belknap,New Hampshire,78,1,78,1,,
6/25/2020,Bell,Kentucky,6,0,,,,
6/25/2020,Bell,Texas,925,11,925,11,,
6/25/2020,Belmont,Ohio,506,21,,,,
6/25/2020,Beltrami,Minnesota,27,0,27,0,,
6/25/2020,Ben Hill,Georgia,132,1,132,1,,
6/25/2020,Benewah,Idaho,21,0,21,,0,
6/25/2020,Bennett,South Dakota,3,0,3,0,,
6/25/2020,Bennington,Vermont,69,1,69,1,,
6/25/2020,Benson,North Dakota,3,0,3,0,,
6/25/2020,Bent,Colorado,4,0,,,,
6/25/2020,Benton,Arkansas,2196,14,2196,14,,
6/25/2020,Benton,Indiana,44,0,44,0,0,0
6/25/2020,Benton,Iowa,53,1,53,1,,
6/25/2020,Benton,Minnesota,204,3,204,3,,
6/25/2020,Benton,Mississippi,22,0,,,,
6/25/2020,Benton,Missouri,16,0,16,0,,
6/25/2020,Benton,Oregon,70,5,,,,
6/25/2020,Benton,Tennessee,9,1,9,,0,
6/25/2020,Benton,Washington,1692,76,1524,76,168,
6/25/2020,Benzie,Michigan,6,0,5,0,1,0
6/25/2020,Bergen,New Jersey,19097,1714,19097,1714,,
6/25/2020,Berkeley,South Carolina,740,20,740,20,0,0
6/25/2020,Berkeley,West Virginia,440,10,422,10,18,
6/25/2020,Berks,Pennsylvania,4453,347,4299,,154,
6/25/2020,Berkshire,Massachusetts,591,44,591,44,,
6/25/2020,Bernalillo,New Mexico,1879,84,1879,84,,
6/25/2020,Berrien,Georgia,102,0,102,0,,
6/25/2020,Berrien,Michigan,918,60,696,60,222,0
6/25/2020,Bertie,North Carolina,138,4,138,4,,
6/25/2020,Bethel Census Area,Alaska,8,0,8,0,,
6/25/2020,Bexar,Texas,7826,104,7826,104,,
6/25/2020,Bibb,Alabama,141,1,138,1,3,0
6/25/2020,Bibb,Georgia,644,38,644,38,,
6/25/2020,Bienville,Louisiana,210,26,210,26,,
6/25/2020,Big Horn,Montana,68,3,68,3,,
6/25/2020,Big Horn,Wyoming,11,0,9,,2,
6/25/2020,Big Stone,Minnesota,14,0,14,0,,
6/25/2020,Billings,North Dakota,1,0,1,0,,
6/25/2020,Bingham,Idaho,33,0,31,,2,
6/25/2020,Black Hawk,Iowa,1932,56,1932,56,,
6/25/2020,Blackford,Indiana,36,2,33,2,3,0
6/25/2020,Bladen,North Carolina,333,2,333,2,,
6/25/2020,Blaine,Idaho,524,5,513,5,11,0
6/25/2020,Blaine,Oklahoma,14,0,14,0,,
6/25/2020,Blair,Pennsylvania,69,1,63,,6,
